NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
MACAPA;AP;MACAPA;AP;18;2;1;B;7;A;A;;;;;;;
MACAPA;AP;;;17;3;;B;12;A;A;;;;;;;
MACAPA;AP;;;31;1;;B;5;A;A;21;5;3;4;5;4;
MACAPA;AP;;;16;3;;K;5;A;A;;;;;;;
MACAPA;AP;;;31;4;;B;4;E;B;13;5;5;5;5;3;
SANTANA;AP;;;22;1;;B;3;A;A;16;1;5;1;2;4;
MACAPA;AP;;;25;1;;B;5;A;A;22;5;2;5;5;5;
LARANJAL DO JARI;AP;;;24;1;;A;8;A;A;;;;;;;
MACAPA;AP;;;32;1;;F;3;A;A;17;5;5;5;5;5;
SANTANA;AP;;;23;1;;B;3;A;B;21;5;5;5;5;5;
MACAPA;AP;;;31;1;;G;4;A;A;18;5;5;5;5;5;
MACAPA;AP;;;40;3;;G;4;E;E;20;0;5;5;4;5;
MACAPA;AP;MACAPA;AP;17;2;1;B;5;A;A;;;;;;;
MACAPA;AP;;;17;3;;Q;5;A;A;;;;;;;
MACAPA;AP;;;21;1;;B;2;B;A;17;2;0;5;5;5;
LARANJAL DO JARI;AP;;;15;3;;B;4;A;A;;;;;;;
MACAPA;AP;;;25;1;;C;5;A;A;13;5;0;5;5;5;
MACAPA;AP;;;20;1;;B;3;A;A;16;5;0;4;5;5;
