NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ARIQUEMES;RO;;;17;3;;B;4;A;A;;;;;;;
ESPIGAO D OESTE;RO;;;18;1;;C;7;A;A;;;;;;;
VILHENA;RO;VILHENA;RO;29;2;1;C;3;E;A;15;5;5;5;5;1;
PORTO VELHO;RO;PORTO VELHO;RO;19;2;1;B;3;A;A;18;5;5;3;5;5;
VILHENA;RO;;;31;3;;C;4;E;E;13;2;2;3;4;4;
PORTO VELHO;RO;;;22;1;;C;4;A;A;;;;;;;
ARIQUEMES;RO;;;15;3;;C;4;A;A;;;;;;;
PORTO VELHO;RO;;;17;3;;I;4;A;A;;;;;;;
PIMENTA BUENO;RO;;;29;1;;B;3;A;A;16;0;5;5;5;4;
OURO PRETO DO OESTE;RO;;;35;1;;G;3;A;B;18;3;5;5;4;3;
PORTO VELHO;RO;;;19;1;;D;5;A;A;;;;;;;
VILHENA;RO;;;27;4;;B;5;C;C;22;0;5;5;5;0;
PORTO VELHO;RO;;;24;3;;L;2;B;E;22;1;0;5;5;5;
VILHENA;RO;VILHENA;RO;18;2;1;B;2;A;A;;;;;;;
PORTO VELHO;RO;;;36;1;;E;4;A;A;19;5;5;5;5;5;
CEREJEIRAS;RO;;;19;1;;B;4;A;A;18;3;2;5;5;5;
VALE DO PARAISO;RO;;;17;1;;B;4;A;A;16;5;0;5;5;0;
ROLIM DE MOURA;RO;;;22;1;;B;1;A;A;18;4;3;5;5;5;
JI-PARANA;RO;;;16;3;;B;3;A;A;;;;;;;
PORTO VELHO;RO;;;33;1;;C;4;A;A;25;5;5;5;5;5;
PORTO VELHO;RO;;;29;1;;E;3;A;A;17;1;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;19;2;1;F;4;A;A;16;1;0;1;1;1;
PORTO VELHO;RO;;;17;3;;C;2;A;A;;;;;;;
VILHENA;RO;VILHENA;RO;19;2;1;B;1;A;A;17;0;0;5;5;5;
PORTO VELHO;RO;;;21;1;;A;3;C;C;19;5;5;5;5;5;
