NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
MIRACEMA DO TOCANTINS;TO;MIRACEMA DO TOCANTINS;TO;18;2;1;B;4;A;A;15;5;0;5;5;5;
PALMAS;TO;;;16;3;;F;4;A;A;;;;;;;
MIRANORTE;TO;MIRANORTE;TO;23;2;1;B;4;A;E;;;;;;;
FILADELFIA;TO;FILADELFIA;TO;27;2;1;A;1;C;D;13;0;0;5;4;5;
PIUM;TO;PIUM;TO;20;2;1;B;4;A;A;14;5;0;5;5;5;
ESPERANTINA;TO;;;19;1;;D;4;A;A;;;;;;;
PALMAS;TO;;;33;1;;D;3;A;A;14;0;5;5;5;2;
PALMAS;TO;;;45;1;;I;5;A;A;20;5;5;3;1;0;
TAGUATINGA;TO;;;25;4;;B;4;C;B;15;1;1;2;3;2;
PALMAS;TO;;;16;3;;C;2;A;A;15;0;0;5;5;0;
PONTE ALTA DO TOCANTINS;TO;;;22;3;;B;3;A;C;;;;;;;
SAO MIGUEL DO TOCANTINS;TO;;;24;1;;C;3;A;A;18;0;0;5;5;5;
ARAGUAINA;TO;ARAGUAINA;TO;22;2;1;B;3;A;A;;;;;;;
ARAGUAINA;TO;ARAGUAINA;TO;19;2;1;C;4;A;A;;;;;;;
PALMAS;TO;;;40;1;;G;3;A;A;20;2;0;5;5;5;
GURUPI;TO;;;16;3;;E;4;A;A;;;;;;;
PALMAS;TO;;;23;1;;G;5;A;A;16;4;0;5;5;5;
WANDERLANDIA;TO;;;27;1;;C;3;A;A;17;4;4;4;4;4;
